task,condition,loss
badham2017deficits,original,0.5397023558616638
badham2017deficits,instruction_ablated,0.5786944627761841
badham2017deficits,content_masked,0.6983089447021484
badham2017deficits,history_only,0.6978647708892822
bahrami2020four,original,0.7088739275932312
bahrami2020four,instruction_ablated,0.848616361618042
bahrami2020four,content_masked,0.8430864810943604
bahrami2020four,history_only,0.8598294258117676
collsiöö2023MCPL,original,1.135697364807129
collsiöö2023MCPL,instruction_ablated,1.1881768703460691
collsiöö2023MCPL,content_masked,1.943598747253418
collsiöö2023MCPL,history_only,1.9424854516983032
feng2021dynamics,original,0.3994108736515045
feng2021dynamics,instruction_ablated,0.3894384801387787
feng2021dynamics,content_masked,0.5265348553657532
feng2021dynamics,history_only,0.5457929968833923
flesch2018comparing,original,0.4948697090148926
flesch2018comparing,instruction_ablated,0.4905597567558288
flesch2018comparing,content_masked,0.6898744106292725
flesch2018comparing,history_only,0.6883416771888733
frey2017cct,original,0.2088368535041809
frey2017cct,instruction_ablated,0.2424540817737579
frey2017cct,content_masked,0.2828544974327087
frey2017cct,history_only,0.29371377825737
garcia2023experiential,original,0.4579746723175049
garcia2023experiential,instruction_ablated,0.4639800786972046
garcia2023experiential,content_masked,0.8474059700965881
garcia2023experiential,history_only,1.4285672903060913
gershman2018deconstructing,original,0.2979858219623565
gershman2018deconstructing,instruction_ablated,0.3560193479061126
gershman2018deconstructing,content_masked,0.3937102556228637
gershman2018deconstructing,history_only,0.4555191993713379
gershman2020reward,original,0.5164802670478821
gershman2020reward,instruction_ablated,0.5490185618400574
gershman2020reward,content_masked,1.0318992137908936
gershman2020reward,history_only,1.0584145784378052
hilbig2014generalized,original,0.0645193457603454
hilbig2014generalized,instruction_ablated,0.0841562375426292
hilbig2014generalized,content_masked,0.742115318775177
hilbig2014generalized,history_only,0.7394587993621826
kool2016when,original,0.4778205454349518
kool2016when,instruction_ablated,0.5340059995651245
kool2016when,content_masked,1.1789559125900269
kool2016when,history_only,1.2318263053894043
kool2017cost,original,0.5287525057792664
