task,condition,loss
badham2017deficits,original,0.5593421459197998
badham2017deficits,instruction_ablated,0.5819088220596313
badham2017deficits,content_masked,0.717727780342102
badham2017deficits,history_only,0.7121410369873047
bahrami2020four,original,0.733834445476532
bahrami2020four,instruction_ablated,0.8779585957527161
bahrami2020four,content_masked,0.8797130584716797
bahrami2020four,history_only,0.8834390044212341
collsiöö2023MCPL,original,1.173905611038208
collsiöö2023MCPL,instruction_ablated,1.22533118724823
collsiöö2023MCPL,content_masked,1.9581692218780518
collsiöö2023MCPL,history_only,1.9671611785888672
feng2021dynamics,original,0.25909462571144104
feng2021dynamics,instruction_ablated,0.2702232301235199
feng2021dynamics,content_masked,0.45449480414390564
feng2021dynamics,history_only,0.5456873774528503
frey2017cct,original,0.20626187324523926
frey2017cct,instruction_ablated,0.24077655375003815
frey2017cct,content_masked,0.2813569903373718
frey2017cct,history_only,0.2953025698661804
garcia2023experiential,original,0.47315147519111633
garcia2023experiential,instruction_ablated,0.47450700402259827
garcia2023experiential,content_masked,0.8936459422111511
garcia2023experiential,history_only,1.5562630891799927
gershman2018deconstructing,original,0.29525893926620483
gershman2018deconstructing,instruction_ablated,0.33905160427093506
gershman2018deconstructing,content_masked,0.3944612741470337
gershman2018deconstructing,history_only,0.4617077112197876
krueger2022identifying,original,0.4915785491466522
krueger2022identifying,instruction_ablated,0.6961767673492432
krueger2022identifying,content_masked,0.8885056376457214
krueger2022identifying,history_only,1.0586888790130615
lefebvre2017behavioural,original,0.5083818435668945
lefebvre2017behavioural,instruction_ablated,0.5089094638824463
lefebvre2017behavioural,content_masked,2.1706790924072266
lefebvre2017behavioural,history_only,2.146836996078491
peterson2021using,original,0.44037485122680664
peterson2021using,instruction_ablated,0.4518042206764221
peterson2021using,content_masked,0.5067456960678101
peterson2021using,history_only,0.562060534954071
plonsky2018when,original,0.35544922947883606
plonsky2018when,instruction_ablated,0.35618484020233154
plonsky2018when,content_masked,0.37797608971595764
plonsky2018when,history_only,0.41075339913368225
sadeghiyeh2020temporal,original,0.5931823253631592
sadeghiyeh2020temporal,instruction_ablated,0.5935946702957153
sadeghiyeh2020temporal,content_masked,0.6308854222297668
sadeghiyeh2020temporal,history_only,0.6842238306999207
schulz2020finding,original,0.6691175103187561
schulz2020finding,instruction_ablated,0.7041261196136475
schulz2020finding,content_masked,0.8734989166259766
schulz2020finding,history_only,1.0491454601287842
somerville2017charting,original,0.35081058740615845
somerville2017charting,instruction_ablated,0.35776832699775696
somerville2017charting,content_masked,0.5249469876289368
somerville2017charting,history_only,0.6029506921768188
speekenbrink2008learning,original,0.5543116331100464
speekenbrink2008learning,instruction_ablated,0.6168973445892334
speekenbrink2008learning,content_masked,0.7205086350440979
speekenbrink2008learning,history_only,0.7070490121841431
steingroever2015data,original,0.9349842667579651
steingroever2015data,instruction_ablated,1.1123995780944824
steingroever2015data,content_masked,1.004334568977356
steingroever2015data,history_only,1.0057865381240845
waltz2020differential,original,0.1592167466878891
waltz2020differential,instruction_ablated,0.1704198718070984
waltz2020differential,content_masked,0.33255910873413086
waltz2020differential,history_only,0.4363904595375061
wilson2014humans,original,0.4708535373210907
wilson2014humans,instruction_ablated,0.47683286666870117
wilson2014humans,content_masked,0.5615591406822205
wilson2014humans,history_only,0.6246692538261414
wise2019acomputational,original,4.579020023345947
wise2019acomputational,instruction_ablated,4.587216377258301
wise2019acomputational,content_masked,4.766427516937256
wise2019acomputational,history_only,4.729804515838623
wu2018generalisation,original,2.1561529636383057
wu2018generalisation,instruction_ablated,2.204726219177246
wu2018generalisation,content_masked,2.542182445526123
wu2018generalisation,history_only,2.731168270111084
wulff2018description,original,0.6224507689476013
wulff2018description,instruction_ablated,0.8093965649604797
wulff2018description,content_masked,0.6643727421760559
wulff2018description,history_only,0.6675907373428345
wulff2018sampling,original,0.49908965826034546
wulff2018sampling,instruction_ablated,0.988091766834259
wulff2018sampling,content_masked,0.5410565137863159
wulff2018sampling,history_only,0.5976704955101013
xiong2023neural,original,0.3192748725414276
xiong2023neural,instruction_ablated,0.3265467882156372
xiong2023neural,content_masked,0.4908973276615143
xiong2023neural,history_only,0.5260862708091736
