task,condition,loss
badham2017deficits,original,0.5481545925140381
badham2017deficits,instruction_ablated,0.5711556673049927
badham2017deficits,content_masked,0.7065083980560303
badham2017deficits,history_only,0.6958822011947632
bahrami2020four,original,0.7321016192436218
bahrami2020four,instruction_ablated,0.8806506991386414
bahrami2020four,content_masked,0.8802738189697266
bahrami2020four,history_only,0.8846892714500427
collsiöö2023MCPL,original,1.1699628829956057
collsiöö2023MCPL,instruction_ablated,1.2308329343795776
collsiöö2023MCPL,content_masked,1.9857069253921509
collsiöö2023MCPL,history_only,1.9924956560134888
feng2021dynamics,original,0.2275533676147461
feng2021dynamics,instruction_ablated,0.2536072134971618
feng2021dynamics,content_masked,0.4472209513187408
feng2021dynamics,history_only,0.5529201626777649
frey2017cct,original,0.2044327557086944
frey2017cct,instruction_ablated,0.236472800374031
frey2017cct,content_masked,0.2798174619674682
frey2017cct,history_only,0.2982970178127289
garcia2023experiential,original,0.4784336686134338
garcia2023experiential,instruction_ablated,0.4825032949447632
garcia2023experiential,content_masked,0.9107950925827026
garcia2023experiential,history_only,1.5421757698059082
gershman2018deconstructing,original,0.2982368767261505
gershman2018deconstructing,instruction_ablated,0.360949158668518
gershman2018deconstructing,content_masked,0.3905602693557739
gershman2018deconstructing,history_only,0.4617844223976135
krueger2022identifying,original,0.4769287109375
krueger2022identifying,instruction_ablated,0.6954511404037476
krueger2022identifying,content_masked,0.9067174792289734
krueger2022identifying,history_only,1.032207489013672
lefebvre2017behavioural,original,0.4977835118770599
lefebvre2017behavioural,instruction_ablated,0.4924432933330536
lefebvre2017behavioural,content_masked,2.119626522064209
lefebvre2017behavioural,history_only,2.096006155014038
peterson2021using,original,0.4414205849170685
peterson2021using,instruction_ablated,0.4806857705116272
peterson2021using,content_masked,0.5098755955696106
peterson2021using,history_only,0.5509286522865295
plonsky2018when,original,0.3488522469997406
plonsky2018when,instruction_ablated,0.3523584306240082
plonsky2018when,content_masked,0.3797694742679596
plonsky2018when,history_only,0.4173707962036133
sadeghiyeh2020temporal,original,0.585551917552948
sadeghiyeh2020temporal,instruction_ablated,0.5890335440635681
sadeghiyeh2020temporal,content_masked,0.6292437314987183
sadeghiyeh2020temporal,history_only,0.6768925189971924
schulz2020finding,original,0.6686626672744751
schulz2020finding,instruction_ablated,0.7052994966506958
schulz2020finding,content_masked,0.8752295970916748
schulz2020finding,history_only,1.044520139694214
somerville2017charting,original,0.3423677086830139
somerville2017charting,instruction_ablated,0.3556716442108154
somerville2017charting,content_masked,0.5260041952133179
somerville2017charting,history_only,0.6083520650863647
speekenbrink2008learning,original,0.5467694401741028
speekenbrink2008learning,instruction_ablated,0.6148467063903809
speekenbrink2008learning,content_masked,0.7108713984489441
speekenbrink2008learning,history_only,0.7021832466125488
steingroever2015data,original,0.9297842979431152
steingroever2015data,instruction_ablated,1.1169219017028809
steingroever2015data,content_masked,0.9969898462295532
steingroever2015data,history_only,1.0074522495269775
waltz2020differential,original,0.153946965932846
waltz2020differential,instruction_ablated,0.1632486283779144
waltz2020differential,content_masked,0.3324503898620605
waltz2020differential,history_only,0.4444406032562256
wilson2014humans,original,0.4591443240642547
wilson2014humans,instruction_ablated,0.4707286357879638
wilson2014humans,content_masked,0.5574639439582825
wilson2014humans,history_only,0.6206132769584656
wise2019acomputational,original,4.706961631774902
wise2019acomputational,instruction_ablated,4.724100589752197
wise2019acomputational,content_masked,4.8593034744262695
wise2019acomputational,history_only,4.882043838500977
wu2018generalisation,original,2.005722761154175
wu2018generalisation,instruction_ablated,2.06118392944336
wu2018generalisation,content_masked,2.409235715866089
wu2018generalisation,history_only,2.5608153343200684
wulff2018description,original,0.6157119274139404
wulff2018description,instruction_ablated,0.8509926199913025
wulff2018description,content_masked,0.67392897605896
wulff2018description,history_only,0.656059205532074
wulff2018sampling,original,0.4928285777568817
wulff2018sampling,instruction_ablated,0.9532970190048218
wulff2018sampling,content_masked,0.555199146270752
wulff2018sampling,history_only,0.5776586532592773
xiong2023neural,original,0.3049968779087066
xiong2023neural,instruction_ablated,0.3123772144317627
xiong2023neural,content_masked,0.4803844392299652
xiong2023neural,history_only,0.440471202135086
flesch2018comparing,instruction_ablated,0.4131072759628296
gershman2020reward,instruction_ablated,0.5727317929267883
hilbig2014generalized,instruction_ablated,0.116081416606903
