task,condition,loss
badham2017deficits,original,0.5331168174743652
badham2017deficits,instruction_ablated,0.5729120373725891
badham2017deficits,content_masked,0.6945867538452148
badham2017deficits,history_only,0.6942870020866394
bahrami2020four,original,0.7112237811088562
bahrami2020four,instruction_ablated,0.8376017212867737
bahrami2020four,content_masked,0.8537523746490479
bahrami2020four,history_only,0.8664383888244629
collsiöö2023MCPL,original,1.1407966613769531
collsiöö2023MCPL,instruction_ablated,1.1935863494873047
collsiöö2023MCPL,content_masked,1.9618443250656128
collsiöö2023MCPL,history_only,1.9670467376708984
feng2021dynamics,original,0.22107838094234467
feng2021dynamics,instruction_ablated,0.23663699626922607
feng2021dynamics,content_masked,0.43798065185546875
feng2021dynamics,history_only,0.5475520491600037
frey2017cct,original,0.201988086104393
frey2017cct,instruction_ablated,0.2388686239719391
frey2017cct,content_masked,0.2795902490615845
frey2017cct,history_only,0.29388710856437683
garcia2023experiential,original,0.4640360176563263
garcia2023experiential,instruction_ablated,0.47013580799102783
garcia2023experiential,content_masked,0.8561087250709534
garcia2023experiential,history_only,1.4721072912216187
gershman2018deconstructing,original,0.2923162877559662
gershman2018deconstructing,instruction_ablated,0.3617329001426697
gershman2018deconstructing,content_masked,0.3889143764972687
gershman2018deconstructing,history_only,0.4540155231952667
krueger2022identifying,original,0.43471741676330566
krueger2022identifying,instruction_ablated,0.6550815105438232
krueger2022identifying,content_masked,0.8405054211616516
krueger2022identifying,history_only,0.9291534423828125
lefebvre2017behavioural,original,0.4887692332267761
lefebvre2017behavioural,instruction_ablated,0.4924149513244629
lefebvre2017behavioural,content_masked,2.058661460876465
lefebvre2017behavioural,history_only,2.0442004203796387
peterson2021using,original,0.43424344062805176
peterson2021using,instruction_ablated,0.43952327966690063
peterson2021using,content_masked,0.5114300847053528
peterson2021using,history_only,0.5627644062042236
plonsky2018when,original,0.3373701572418213
plonsky2018when,instruction_ablated,0.3382454812526703
plonsky2018when,content_masked,0.3771916627883911
plonsky2018when,history_only,0.41168829798698425
sadeghiyeh2020temporal,original,0.5798181295394897
sadeghiyeh2020temporal,instruction_ablated,0.5823712944984436
sadeghiyeh2020temporal,content_masked,0.6305317282676697
sadeghiyeh2020temporal,history_only,0.6728535890579224
schulz2020finding,original,0.6507346034049988
schulz2020finding,instruction_ablated,0.6806489825248718
schulz2020finding,content_masked,0.8487910628318787
schulz2020finding,history_only,0.9890085458755493
somerville2017charting,original,0.33674272894859314
somerville2017charting,instruction_ablated,0.3449265658855438
somerville2017charting,content_masked,0.5190514326095581
somerville2017charting,history_only,0.6025350689888
speekenbrink2008learning,original,0.5453464388847351
speekenbrink2008learning,instruction_ablated,0.6067166328430176
speekenbrink2008learning,content_masked,0.6989430785179138
speekenbrink2008learning,history_only,0.6943380236625671
steingroever2015data,original,0.9115118980407715
steingroever2015data,instruction_ablated,1.0753027200698853
steingroever2015data,content_masked,0.9733693599700928
steingroever2015data,history_only,0.9820128679275513
waltz2020differential,original,0.1508147418498993
waltz2020differential,instruction_ablated,0.1592620611190796
waltz2020differential,content_masked,0.3283957242965698
waltz2020differential,history_only,0.4445875585079193
wilson2014humans,original,0.4532584547996521
wilson2014humans,instruction_ablated,0.45952108502388
wilson2014humans,content_masked,0.5444356799125671
wilson2014humans,history_only,0.6197875142097473
wise2019acomputational,original,4.235759258270264
wise2019acomputational,instruction_ablated,4.2510247230529785
wise2019acomputational,content_masked,4.416358947753906
wise2019acomputational,history_only,4.485432147979736
wu2018generalisation,original,1.8663877248764038
wu2018generalisation,instruction_ablated,1.9922388792037964
wu2018generalisation,content_masked,2.3283779621124268
wu2018generalisation,history_only,2.488529682159424
wulff2018description,original,0.6141577959060669
wulff2018description,instruction_ablated,0.7088696956634521
wulff2018description,content_masked,0.6726047396659851
wulff2018description,history_only,0.6695657968521118
wulff2018sampling,original,0.4855067729949951
wulff2018sampling,instruction_ablated,0.9337167143821716
wulff2018sampling,content_masked,0.5401771664619446
wulff2018sampling,history_only,0.56728196144104
xiong2023neural,original,0.2912064790725708
xiong2023neural,instruction_ablated,0.2957947254180908
xiong2023neural,content_masked,0.4833851754665375
xiong2023neural,history_only,0.4370083808898926
flesch2018comparing,instruction_ablated,0.4009073078632355
gershman2020reward,instruction_ablated,0.5580136775970459
hilbig2014generalized,instruction_ablated,0.13074545562267303
levering2020revisiting,instruction_ablated,0.6018553972244263
kool2016when,instruction_ablated,0.519709587097168
kool2017cost,instruction_ablated,0.5386239886283875
zorowitz2023data,instruction_ablated,0.520063042640686
tomov2020discovery,instruction_ablated,1.4577863216400146
tomov2021multitask,instruction_ablated,0.6502999067306519
flesch2018comparing,content_masked,0.6830114722251892
gershman2020reward,content_masked,1.0208200216293335
hilbig2014generalized,content_masked,0.7185320854187012
levering2020revisiting,content_masked,0.7825829386711121
kool2016when,content_masked,1.1619303226470947
kool2017cost,content_masked,1.1180384159088135
zorowitz2023data,content_masked,0.954942524433136
tomov2020discovery,content_masked,1.431921124458313
tomov2021multitask,content_masked,0.7729940414428711
flesch2018comparing,history_only,0.679527223110199
gershman2020reward,history_only,1.0594916343688965
hilbig2014generalized,history_only,0.7213745713233948
levering2020revisiting,history_only,0.8786490559577942
kool2016when,history_only,1.2912265062332153
