model,experiment,type,family,mean_variance,median_variance,std,se,ci_low,ci_high,p_value,n
Llama-3.2-1B,hebart2023things,Base,llama,0.007605600239985151,0.007138536673698517,0.002542164595197285,9.173246333509304e-05,0.007425523753639612,0.00778567672633069,0.0,768
Llama-3.2-1B,ruggeri2022globalizability,Base,llama,0.012424457998127563,0.012860259830467303,0.006334545098675253,0.00017602751102803902,0.01207912741064193,0.012769788585613196,0.0,1295
Llama-3.2-3B,hebart2023things,Base,llama,0.002474389911019509,0.0022558921916247506,0.0010263663740568663,3.7035806396806996e-05,0.002401686337579557,0.002547093484459461,5.53e-322,768
Llama-3.2-3B,ruggeri2022globalizability,Base,llama,0.005604372097624509,0.005421318703317129,0.002040612156462648,5.670555237672864e-05,0.00549312720413264,0.005715616991116378,0.0,1295
Llama-Centaur-1B-LoRA,hebart2023things,Finetuned,llama,0.0005343453636431674,0.0005055785020706405,0.0004313774510158881,1.556599296664735e-05,0.0005037883588707808,0.0005649023684155541,3.5688799670960426e-157,768
Llama-Centaur-1B-LoRA,ruggeri2022globalizability,Finetuned,llama,0.007585207675014039,0.003376233806467838,0.009403881295107011,0.00026131976212893357,0.007072550838303919,0.00809786451172416,4.424859837731242e-143,1295
Llama-Centaur-3B-LoRA,hebart2023things,Finetuned,llama,0.00041723230227227884,0.00040641619594095307,0.00015163146597353916,5.471529231090026e-06,0.0004064913527430769,0.00042797325180148077,0.0,768
Llama-Centaur-3B-LoRA,ruggeri2022globalizability,Finetuned,llama,0.009052331967227618,0.003915052446352085,0.010748461913603546,0.00029868364161255806,0.008466374710728189,0.009638289223727047,6.504757138431575e-153,1295
Llama-Centaur-8B-LoRA,hebart2023things,Finetuned,llama,0.0004910207838459403,0.0004291408164744173,0.0007743023563406961,2.7940229616716405e-05,0.00043617238891418604,0.0005458691787776945,2.355637559400788e-58,768
Llama-Centaur-8B-LoRA,ruggeri2022globalizability,Finetuned,llama,0.015547846602464282,0.009299638959561067,0.015669901324546022,0.00043544306422124295,0.014693594853371987,0.016402098351556576,6.489395849899725e-195,1295
Meta-Llama-3.1-8B,hebart2023things,Base,llama,0.0030028018830664787,0.002778544965240633,0.0012870402527405112,4.6442064773601135e-05,0.00291163324397181,0.0030939705221611474,1.04055438462e-312,768
Meta-Llama-3.1-8B,ruggeri2022globalizability,Base,llama,0.009487206116607878,0.009435232163492182,0.003646488244460042,0.00010133044120240643,0.009288416162774857,0.009685996070440898,0.0,1295
Qwen3-0.6B-Base,hebart2023things,Base,qwen,0.007993740479601547,0.006499065150559419,0.004630959191459484,0.00016710534598720657,0.007665702373342387,0.008321778585860707,2.09410366696292e-232,768
Qwen3-0.6B-Base,ruggeri2022globalizability,Base,qwen,0.007281055509501557,0.007174982443018472,0.003189765745578911,8.863880771393935e-05,0.007107163989005054,0.00745494702999806,0.0,1295
Qwen3-1.7B-Base,hebart2023things,Base,qwen,0.004812552694991361,0.004663150626437889,0.001438153719555902,5.189490232010385e-05,0.0047106797992978,0.004914425590684921,0.0,768
Qwen3-1.7B-Base,ruggeri2022globalizability,Base,qwen,0.003123326999860656,0.0030525537156339613,0.0011689364844447215,3.2482992338266265e-05,0.003059601899380891,0.0031870521003404214,0.0,1295
Qwen3-14B-Base,hebart2023things,Base,qwen,0.0045534405041789345,0.004176018924474925,0.0018963517786213552,6.842870061657906e-05,0.0044191107421271796,0.004687770266230689,7.727e-321,768
Qwen3-14B-Base,ruggeri2022globalizability,Base,qwen,0.008693122850659289,0.008115671079591618,0.004634956814492426,0.00012879850077129854,0.008440446086221392,0.008945799615097186,0.0,1295
Qwen3-4B-Base,hebart2023things,Base,qwen,0.0029886118150134924,0.0028234519200524507,0.0010535794252270175,3.801777279796686e-05,0.002913980580930827,0.003063243049096158,0.0,768
Qwen3-4B-Base,ruggeri2022globalizability,Base,qwen,0.012373295442112782,0.012018095882912576,0.005445853714034436,0.00015133210984712392,0.012076412266899202,0.01267017861732636,0.0,1295
Qwen3-8B-Base,hebart2023things,Base,qwen,0.0018262339456574454,0.00167755041232641,0.0008252627593056842,2.9779104764831885e-05,0.0017677757253327859,0.0018846921659821049,6.0658358084316975e-298,768
Qwen3-8B-Base,ruggeri2022globalizability,Base,qwen,0.010550141684027417,0.010333151009591217,0.004916613404923828,0.00013662531513696657,0.010282110283332653,0.010818173084722181,0.0,1295
Qwentaur-0.6B-LoRA,hebart2023things,Finetuned,qwen,0.00036310635495951483,0.00035894101813656716,0.00011355002079375648,4.097383441985182e-06,0.00035506293841298876,0.0003711497715060409,0.0,768
Qwentaur-0.6B-LoRA,ruggeri2022globalizability,Finetuned,qwen,0.01890069383638564,0.013400397036179785,0.014150591626619627,0.00039322372558828016,0.018129267941776134,0.019672119730995148,3.957505012309382e-290,1295
Qwentaur-1.7B-LoRA,hebart2023things,Finetuned,qwen,0.0004886024920441001,0.0004950871379687534,0.00013526373149817087,4.880909487003888e-06,0.00047902096551973803,0.0004981840185684622,0.0,768
Qwentaur-1.7B-LoRA,ruggeri2022globalizability,Finetuned,qwen,0.012772303542926137,0.006111119308065974,0.013094446373084786,0.00036387503245123153,0.012058453883893455,0.013486153201958818,3.477051165051493e-190,1295
Qwentaur-14B-LoRA,hebart2023things,Finetuned,qwen,0.0005934949317499914,0.0005255141834555816,0.00045374992984711026,1.6373290258875184e-05,0.0005613531525745713,0.0006256367109254115,2.131321251801929e-168,768
