family,size,params_b,rank,n_tasks,mean_nll,cog_mean_nll,delta_nats,beats_baseline,win_rate,wins,wilcoxon_p
Llama-Centaur,1B,1.0,4,38,0.5582303070442369,0.6851210526315789,0.12689074558734192,True,0.8157894736842105,31,1.030414568958804e-05
Llama-Centaur,1B,1.0,8,38,0.5472592519401683,0.6851210526315789,0.13786180069141052,True,0.8421052631578947,32,3.30010152538307e-06
Llama-Centaur,1B,1.0,16,38,0.5365272453407095,0.6851210526315789,0.14859380729086935,True,0.868421052631579,33,7.650523912161589e-07
Llama-Centaur,1B,1.0,32,38,0.5269936270118897,0.6851210526315789,0.15812742561968918,True,0.868421052631579,33,3.244131221435964e-07
Llama-Centaur,1B,1.0,64,38,0.5203160591646864,0.6851210526315789,0.16480499346689248,True,0.9210526315789473,35,1.6333433450199664e-07
Llama-Centaur,3B,3.0,4,38,0.5354063663814582,0.6851210526315789,0.14971468625012063,True,0.868421052631579,33,1.5468067431356758e-06
Llama-Centaur,3B,3.0,8,38,0.5289111179571544,0.6851210526315789,0.15620993467442446,True,0.868421052631579,33,6.895024853292853e-07
Llama-Centaur,3B,3.0,16,38,0.5232283389063205,0.6851210526315789,0.16189271372525837,True,0.8947368421052632,34,2.901397238019854e-07
Llama-Centaur,3B,3.0,32,38,0.5173026826251101,0.6851210526315789,0.1678183700064687,True,0.9210526315789473,35,1.4510806067846715e-07
Llama-Centaur,3B,3.0,64,38,0.5117886418863811,0.6851210526315789,0.17333241074519778,True,0.9210526315789473,35,7.881681085564196e-08
Llama-Centaur,8B,8.0,4,38,0.5209551666688592,0.6851210526315789,0.16416588596271964,True,0.8947368421052632,34,2.0622610463760793e-07
Llama-Centaur,8B,8.0,8,38,0.5168605469693112,0.6851210526315789,0.1682605056622677,True,0.9210526315789473,35,1.6333433450199664e-07
Llama-Centaur,8B,8.0,16,38,0.512844835260251,0.6851210526315789,0.1722762173713278,True,0.9210526315789473,35,8.928327588364482e-08
Llama-Centaur,8B,8.0,32,38,0.508175068831753,0.6851210526315789,0.17694598379982585,True,0.9210526315789473,35,6.948539521545172e-08
Llama-Centaur,8B,8.0,64,38,0.5050383047660753,0.6851210526315789,0.1800827478655036,True,0.9210526315789473,35,4.137109499424696e-08
Olmotaur,1B,1.0,4,38,0.6122880653875702,0.6851210526315789,0.07283298724400866,True,0.7368421052631579,28,0.00043481492321006954
Olmotaur,1B,1.0,8,38,0.5976452979976832,0.6851210526315789,0.08747575463389567,True,0.7894736842105263,30,0.00018203372019343078
Olmotaur,1B,1.0,16,38,0.5865545008043562,0.6851210526315789,0.09856655182722263,True,0.7894736842105263,30,2.3107157176127657e-05
Olmotaur,1B,1.0,32,38,0.5757021969505953,0.6851210526315789,0.10941885568098353,True,0.8157894736842105,31,8.707887900527567e-06
Olmotaur,1B,1.0,64,38,0.5658593100770782,0.6851210526315789,0.11926174255450062,True,0.868421052631579,33,1.5468067431356758e-06
Olmotaur,7B,7.0,4,38,0.5353842787112386,0.6851210526315789,0.14973677392034024,True,0.868421052631579,33,1.0396615834906697e-06
Olmotaur,7B,7.0,8,38,0.5294029890151969,0.6851210526315789,0.15571806361638196,True,0.8947368421052632,34,3.6236815503798425e-07
Olmotaur,7B,7.0,16,38,0.5233937539159295,0.6851210526315789,0.1617272987156494,True,0.8947368421052632,34,2.3133179638534784e-07
Olmotaur,7B,7.0,32,38,0.5183007910684051,0.6851210526315789,0.16682026156317376,True,0.9210526315789473,35,1.1410884326323867e-07
Olmotaur,7B,7.0,64,38,0.5131984736064958,0.6851210526315789,0.171922579025083,True,0.9210526315789473,35,7.881681085564196e-08
Qwentaur,0.6B,0.6,4,38,0.5462295962544502,0.6851210526315789,0.13889145637712863,True,0.868421052631579,33,3.6162637115921825e-06
Qwentaur,0.6B,0.6,8,38,0.5364865174220349,0.6851210526315789,0.14863453520954395,True,0.868421052631579,33,9.394279913976789e-07
Qwentaur,0.6B,0.6,16,38,0.5278623762288877,0.6851210526315789,0.1572586764026912,True,0.8947368421052632,34,3.6236815503798425e-07
Qwentaur,0.6B,0.6,32,38,0.5202221125337139,0.6851210526315789,0.164898940097865,True,0.9210526315789473,35,1.8363789422437549e-07
Qwentaur,0.6B,0.6,64,38,0.5131625848636974,0.6851210526315789,0.17195846776788148,True,0.9210526315789473,35,8.928327588364482e-08
Qwentaur,1.7B,1.7,8,38,0.5283047092877831,0.6851210526315789,0.1568163433437958,True,0.8947368421052632,34,4.043504304718226e-07
Qwentaur,1.7B,1.7,16,38,0.5237612679823686,0.6851210526315789,0.1613597846492103,True,0.8947368421052632,34,2.901397238019854e-07
Qwentaur,4B,4.0,4,38,0.5255984820190095,0.6851210526315789,0.15952257061256936,True,0.8947368421052632,34,3.6236815503798425e-07
Qwentaur,4B,4.0,8,38,0.5199968194723337,0.6851210526315789,0.16512423315924518,True,0.8947368421052632,34,2.0622610463760793e-07
Qwentaur,4B,4.0,16,38,0.5161737039144866,0.6851210526315789,0.16894734871709227,True,0.8947368421052632,34,1.4510806067846715e-07
Qwentaur,4B,4.0,32,38,0.5107301694221956,0.6851210526315789,0.17439088320938323,True,0.9210526315789473,35,6.948539521545172e-08
Qwentaur,4B,4.0,64,38,0.5056365596202866,0.6851210526315789,0.1794844930112922,True,0.9210526315789473,35,4.7202775022014976e-08
Qwentaur,8B,8.0,4,38,0.5207217534568228,0.6851210526315789,0.16439929917475604,True,0.8947368421052632,34,2.3133179638534784e-07
Qwentaur,8B,8.0,8,38,0.5167593008094818,0.6851210526315789,0.168361751822097,True,0.8947368421052632,34,2.0622610463760793e-07
Qwentaur,8B,8.0,16,38,0.5126679117792455,0.6851210526315789,0.17245314085233332,True,0.8947368421052632,34,1.0100120562128723e-07
Qwentaur,8B,8.0,32,38,0.5094488794162843,0.6851210526315789,0.1756721732152946,True,0.9210526315789473,35,6.117261364124715e-08
Qwentaur,8B,8.0,64,38,0.5038980678452486,0.6851210526315789,0.18122298478633025,True,0.9210526315789473,35,4.137109499424696e-08
Qwentaur,14B,14.0,4,38,0.5162525034139482,0.6851210526315789,0.16886854921763061,True,0.9210526315789473,35,1.28758983919397e-07
Qwentaur,14B,14.0,16,38,0.5088324854415723,0.6851210526315789,0.17628856719000652,True,0.9210526315789473,35,6.117261364124715e-08
Qwentaur,14B,14.0,64,38,0.501506726186012,0.6851210526315789,0.18361432644556686,True,0.9210526315789473,35,3.6201527109369636e-08
Smoltaur,0.1B,0.1,4,38,0.7142022199573388,0.6851210526315789,-0.029081167325759938,False,0.47368421052631576,18,0.7170194367572549
Smoltaur,0.1B,0.1,8,38,0.6749139291174575,0.6851210526315789,0.010207123514121341,True,0.5263157894736842,20,0.24534799906541593
Smoltaur,0.1B,0.1,16,38,0.6350852395538057,0.6851210526315789,0.05003581307777316,True,0.6578947368421053,25,0.02304341761919204
Smoltaur,0.1B,0.1,32,38,0.6065380436657027,0.6851210526315789,0.07858300896587611,True,0.7631578947368421,29,0.0009680549992481247
Smoltaur,0.1B,0.1,64,38,0.587433971451901,0.6851210526315789,0.09768708117967784,True,0.7894736842105263,30,0.00010692057549022138
Smoltaur,0.4B,0.4,4,38,0.6457147035207048,0.6851210526315789,0.03940634911087404,True,0.5789473684210527,22,0.0663175195659278
Smoltaur,0.4B,0.4,8,38,0.6109881358708279,0.6851210526315789,0.07413291676075096,True,0.7105263157894737,27,0.003980622223025421
Smoltaur,0.4B,0.4,16,38,0.590996640388958,0.6851210526315789,0.0941244122426208,True,0.7631578947368421,29,0.00034159724236815237
Smoltaur,0.4B,0.4,32,38,0.5753003266819225,0.6851210526315789,0.1098207259496563,True,0.8157894736842105,31,3.392012877156958e-05
Smoltaur,0.4B,0.4,64,38,0.5625593265859176,0.6851210526315789,0.12256172604566129,True,0.8157894736842105,31,4.739089490612969e-06
Smoltaur,1.7B,1.7,4,38,0.5960092479125658,0.6851210526315789,0.08911180471901303,True,0.7631578947368421,29,0.0009680549992481247
Smoltaur,1.7B,1.7,8,38,0.5731326290693496,0.6851210526315789,0.11198842356222927,True,0.7894736842105263,30,4.2450916225789115e-05
Smoltaur,1.7B,1.7,16,38,0.5607315482744812,0.6851210526315789,0.12438950435709761,True,0.8157894736842105,31,6.1739920056425035e-06
Smoltaur,1.7B,1.7,32,38,0.5501955723614772,0.6851210526315789,0.13492548027010165,True,0.8421052631578947,32,2.0665902411565185e-06
Smoltaur,1.7B,1.7,64,38,0.5420268261601259,0.6851210526315789,0.14309422647145298,True,0.868421052631579,33,5.585279723163694e-07
Smoltaur,3B,3.0,4,38,0.5294003409778126,0.6851210526315789,0.15572071165376622,True,0.8947368421052632,34,5.019937816541642e-07
Smoltaur,3B,3.0,8,38,0.5231680480309909,0.6851210526315789,0.16195300460058792,True,0.8947368421052632,34,2.5921326596289873e-07
Smoltaur,3B,3.0,16,38,0.5185716109812778,0.6851210526315789,0.16654944165030106,True,0.8947368421052632,34,2.0622610463760793e-07
Smoltaur,3B,3.0,32,38,0.5137257877149272,0.6851210526315789,0.1713952649166517,True,0.9210526315789473,35,1.28758983919397e-07
Smoltaur,3B,3.0,64,38,0.5095760756757954,0.6851210526315789,0.17554497695578342,True,0.9210526315789473,35,7.881681085564196e-08
