size,axis,rank,fraction,mean_nll
1B,baseline,16,1.0,0.6997673913043478
1B,datasize,16,0.0625,0.9163200653008813
1B,datasize,16,0.125,0.8610203601264916
1B,datasize,16,0.25,0.8131800488152531
1B,datasize,16,0.5,0.76522361278781
1B,rank_sweep,4,1.0,0.7788769333039217
1B,rank_sweep,8,1.0,0.7510173032547438
1B,rank_sweep,32,1.0,0.6890797273206614
1B,rank_sweep,64,1.0,0.6663427815349717
3B,baseline,16,1.0,0.6826913043478261
3B,datasize,16,0.0625,0.8489188195406155
3B,datasize,16,0.125,0.8070288734887309
3B,datasize,16,0.25,0.7694112969487754
3B,datasize,16,0.5,0.727881393469844
3B,rank_sweep,4,1.0,0.732871101925115
3B,rank_sweep,8,1.0,0.7177071852388706
3B,rank_sweep,32,1.0,0.6651320516592457
3B,rank_sweep,64,1.0,0.6476772718694283
8B,baseline,16,1.0,0.6440956521739131
8B,datasize,16,0.0625,0.7847287552595725
8B,datasize,16,0.125,0.7549397133070275
8B,datasize,16,0.25,0.7240110775087685
8B,datasize,16,0.5,0.6740994788896901
8B,rank_sweep,4,1.0,0.6778562793951017
8B,rank_sweep,8,1.0,0.665043547979226
8B,rank_sweep,32,1.0,0.6359276882320778
8B,rank_sweep,64,1.0,0.6306634183635612
