size,axis,rank,fraction,mean_nll
1B,baseline,16,1.0,0.5365342105263159
1B,datasize,16,0.0625,0.6541508959964727
1B,datasize,16,0.125,0.6094162289453763
1B,datasize,16,0.25,0.5744013801840514
1B,datasize,16,0.5,0.552936260860071
1B,rank_sweep,4,1.0,0.5582303070442369
1B,rank_sweep,8,1.0,0.5472592519401683
1B,rank_sweep,32,1.0,0.5269936270118897
1B,rank_sweep,64,1.0,0.5203160591646864
3B,baseline,16,1.0,0.5232236842105262
3B,datasize,16,0.0625,0.6025344486100183
3B,datasize,16,0.125,0.5725031660149398
3B,datasize,16,0.25,0.5491338380080905
3B,datasize,16,0.5,0.5333448642001809
3B,rank_sweep,4,1.0,0.5354063663814582
3B,rank_sweep,8,1.0,0.5289111179571544
3B,rank_sweep,32,1.0,0.5173026826251101
3B,rank_sweep,64,1.0,0.5117886418863811
8B,baseline,16,1.0,0.5128473684210526
8B,datasize,16,0.0625,0.56617967722674
8B,datasize,16,0.125,0.5426654075446621
8B,datasize,16,0.25,0.5304109481648993
8B,datasize,16,0.5,0.5218377497866115
8B,rank_sweep,4,1.0,0.5209551666688592
8B,rank_sweep,8,1.0,0.5168605469693112
8B,rank_sweep,32,1.0,0.508175068831753
8B,rank_sweep,64,1.0,0.5050383047660753
