size,axis,rank,fraction,mean_nll
1B,baseline,16,1.0,0.7699501744355075
1B,datasize,16,0.0625,0.9940930757274264
1B,datasize,16,0.125,0.9453629270264292
1B,datasize,16,0.25,0.894258380571441
1B,datasize,16,0.5,0.8470141784656215
1B,rank_sweep,4,1.0,0.8550757031527768
1B,rank_sweep,8,1.0,0.8052687330399868
1B,rank_sweep,32,1.0,0.7514948164297612
1B,rank_sweep,64,1.0,0.7345480598736607
7B,baseline,16,1.0,0.6828693201683642
7B,datasize,16,0.0625,0.8800406655076507
7B,datasize,16,0.125,0.8171479455037194
7B,datasize,16,0.25,0.7739211768123863
7B,datasize,16,0.5,0.7254805188907124
7B,rank_sweep,4,1.0,0.7242309167382779
7B,rank_sweep,8,1.0,0.6992290448425078
7B,rank_sweep,32,1.0,0.6557708999249846
7B,rank_sweep,64,1.0,0.6444417975746112
