size,axis,rank,fraction,mean_nll
1B,baseline,16,1.0,0.5865545008043562
1B,datasize,16,0.0625,0.7196372320100445
1B,datasize,16,0.125,0.6807275448273254
1B,datasize,16,0.25,0.6376782624191899
1B,datasize,16,0.5,0.6100437594876368
1B,rank_sweep,4,1.0,0.6122880653875702
1B,rank_sweep,8,1.0,0.5976452979976832
1B,rank_sweep,32,1.0,0.5757021969505953
1B,rank_sweep,64,1.0,0.5658593100770782
7B,baseline,16,1.0,0.5233937539159295
7B,datasize,16,0.0625,0.6244793759588471
7B,datasize,16,0.125,0.58013035269304
7B,datasize,16,0.25,0.5523159959070894
7B,datasize,16,0.5,0.5356785403806785
7B,rank_sweep,4,1.0,0.5353842787112386
7B,rank_sweep,8,1.0,0.5294029890151969
7B,rank_sweep,32,1.0,0.5183007910684051
7B,rank_sweep,64,1.0,0.5131984736064958
