family,size,params_billions,axis,lora_rank,data_fraction,mean_nll
Llama-Centaur,1B,1.0,baseline,16,1.0,0.6998
Llama-Centaur,1B,1.0,datasize,16,0.0625,0.9163
Llama-Centaur,1B,1.0,datasize,16,0.125,0.861
Llama-Centaur,1B,1.0,datasize,16,0.25,0.8132
Llama-Centaur,1B,1.0,datasize,16,0.5,0.7652
Llama-Centaur,1B,1.0,rank_sweep,4,1.0,0.7789
Llama-Centaur,1B,1.0,rank_sweep,8,1.0,0.751
Llama-Centaur,1B,1.0,rank_sweep,32,1.0,0.6891
Llama-Centaur,1B,1.0,rank_sweep,64,1.0,0.6663
Llama-Centaur,3B,3.0,baseline,16,1.0,0.6827
Llama-Centaur,3B,3.0,datasize,16,0.0625,0.8489
Llama-Centaur,3B,3.0,datasize,16,0.125,0.807
Llama-Centaur,3B,3.0,datasize,16,0.25,0.7694
Llama-Centaur,3B,3.0,datasize,16,0.5,0.7279
Llama-Centaur,3B,3.0,rank_sweep,4,1.0,0.7329
Llama-Centaur,3B,3.0,rank_sweep,8,1.0,0.7177
Llama-Centaur,3B,3.0,rank_sweep,32,1.0,0.6651
Llama-Centaur,3B,3.0,rank_sweep,64,1.0,0.6477
Llama-Centaur,8B,8.0,baseline,16,1.0,0.6441
Llama-Centaur,8B,8.0,datasize,16,0.0625,0.7847
Llama-Centaur,8B,8.0,datasize,16,0.125,0.7549
Llama-Centaur,8B,8.0,datasize,16,0.25,0.724
Llama-Centaur,8B,8.0,datasize,16,0.5,0.6741
Llama-Centaur,8B,8.0,rank_sweep,4,1.0,0.6779
Llama-Centaur,8B,8.0,rank_sweep,8,1.0,0.665
Llama-Centaur,8B,8.0,rank_sweep,32,1.0,0.6359
Llama-Centaur,8B,8.0,rank_sweep,64,1.0,0.6307
Qwentaur,0.6B,0.6,baseline,16,1.0,0.6926
Qwentaur,0.6B,0.6,datasize,16,0.0625,0.8521
Qwentaur,0.6B,0.6,datasize,16,0.125,0.8144
Qwentaur,0.6B,0.6,datasize,16,0.25,0.78
Qwentaur,0.6B,0.6,datasize,16,0.5,0.7381
Qwentaur,0.6B,0.6,rank_sweep,4,1.0,0.7554
Qwentaur,0.6B,0.6,rank_sweep,8,1.0,0.718
Qwentaur,0.6B,0.6,rank_sweep,32,1.0,0.6735
Qwentaur,0.6B,0.6,rank_sweep,64,1.0,0.6458
Qwentaur,1.7B,1.7,baseline,16,1.0,0.6781
Qwentaur,1.7B,1.7,rank_sweep,8,1.0,0.6909
Qwentaur,4B,4.0,datasize,16,0.5,0.6805
Qwentaur,4B,4.0,datasize,16,0.125,0.7589
Qwentaur,4B,4.0,datasize,16,0.25,0.7277
Qwentaur,4B,4.0,baseline,16,1.0,0.6605
Qwentaur,4B,4.0,datasize,16,0.0625,0.7852
Qwentaur,4B,4.0,rank_sweep,64,1.0,0.6283
Qwentaur,4B,4.0,rank_sweep,4,1.0,0.6782
Qwentaur,4B,4.0,rank_sweep,32,1.0,0.6476
Qwentaur,4B,4.0,rank_sweep,8,1.0,0.6676
Qwentaur,8B,8.0,datasize,16,0.25,0.717
Qwentaur,8B,8.0,datasize,16,0.125,0.7472
Qwentaur,8B,8.0,datasize,16,0.0625,0.773
Qwentaur,8B,8.0,baseline,16,1.0,0.6571
Qwentaur,8B,8.0,datasize,16,0.5,0.6714
Qwentaur,8B,8.0,rank_sweep,32,1.0,0.6489
Qwentaur,8B,8.0,rank_sweep,8,1.0,0.6624
Qwentaur,8B,8.0,rank_sweep,4,1.0,0.6691
Qwentaur,8B,8.0,rank_sweep,64,1.0,0.6305
Qwentaur,14B,14.0,datasize,16,0.5,0.6574
Qwentaur,14B,14.0,datasize,16,0.125,0.7307
Qwentaur,14B,14.0,datasize,16,0.0625,0.7579
Qwentaur,14B,14.0,rank_sweep,4,1.0,0.6598
Qwentaur,14B,14.0,rank_sweep,64,1.0,0.6187
Qwentaur,14B,14.0,datasize,16,0.25,0.6973
Qwentaur,14B,14.0,baseline,16,1.0,0.641
Smoltaur,0.1B,0.1,baseline,16,1.0,0.892
Smoltaur,0.1B,0.1,datasize,16,0.0625,1.0839
Smoltaur,0.1B,0.1,datasize,16,0.125,1.0485
Smoltaur,0.1B,0.1,datasize,16,0.25,1.0072
Smoltaur,0.1B,0.1,datasize,16,0.5,0.9596
Smoltaur,0.1B,0.1,rank_sweep,4,1.0,0.9892
Smoltaur,0.1B,0.1,rank_sweep,8,1.0,0.9417
Smoltaur,0.1B,0.1,rank_sweep,32,1.0,0.8417
Smoltaur,0.1B,0.1,rank_sweep,64,1.0,0.7721
Smoltaur,0.4B,0.4,baseline,16,1.0,0.8178
Smoltaur,0.4B,0.4,datasize,16,0.0625,1.0175
Smoltaur,0.4B,0.4,datasize,16,0.125,0.9815
Smoltaur,0.4B,0.4,datasize,16,0.25,0.9323
Smoltaur,0.4B,0.4,datasize,16,0.5,0.8757
Smoltaur,0.4B,0.4,rank_sweep,4,1.0,0.9005
Smoltaur,0.4B,0.4,rank_sweep,8,1.0,0.8561
Smoltaur,0.4B,0.4,rank_sweep,32,1.0,0.7589
Smoltaur,0.4B,0.4,rank_sweep,64,1.0,0.7341
Smoltaur,1.7B,1.7,baseline,16,1.0,0.7313
Smoltaur,1.7B,1.7,datasize,16,0.0625,0.9504
Smoltaur,1.7B,1.7,datasize,16,0.125,0.9028
Smoltaur,1.7B,1.7,datasize,16,0.25,0.8507
Smoltaur,1.7B,1.7,datasize,16,0.5,0.805
Smoltaur,1.7B,1.7,rank_sweep,4,1.0,0.8289
Smoltaur,1.7B,1.7,rank_sweep,8,1.0,0.7814
Smoltaur,1.7B,1.7,rank_sweep,32,1.0,0.7135
Smoltaur,1.7B,1.7,rank_sweep,64,1.0,0.7008
Smoltaur,3B,3.0,baseline,16,1.0,0.6589
Smoltaur,3B,3.0,datasize,16,0.0625,0.8142
Smoltaur,3B,3.0,datasize,16,0.125,0.7786
Smoltaur,3B,3.0,datasize,16,0.25,0.7479
Smoltaur,3B,3.0,datasize,16,0.5,0.6964
Smoltaur,3B,3.0,rank_sweep,4,1.0,0.6975
Smoltaur,3B,3.0,rank_sweep,8,1.0,0.6858
Smoltaur,3B,3.0,rank_sweep,32,1.0,0.6467
