family,size,params_billions,axis,lora_rank,data_fraction,mean_nll
Llama-Centaur,1B,1.0,baseline,16,1.0,0.536534
Llama-Centaur,1B,1.0,datasize,16,0.0625,0.654151
Llama-Centaur,1B,1.0,datasize,16,0.125,0.609416
Llama-Centaur,1B,1.0,datasize,16,0.25,0.574401
Llama-Centaur,1B,1.0,datasize,16,0.5,0.552936
Llama-Centaur,1B,1.0,rank_sweep,4,1.0,0.558230
Llama-Centaur,1B,1.0,rank_sweep,8,1.0,0.547259
Llama-Centaur,1B,1.0,rank_sweep,32,1.0,0.526994
Llama-Centaur,1B,1.0,rank_sweep,64,1.0,0.520316
Llama-Centaur,3B,3.0,baseline,16,1.0,0.523224
Llama-Centaur,3B,3.0,datasize,16,0.0625,0.602534
Llama-Centaur,3B,3.0,datasize,16,0.125,0.572503
Llama-Centaur,3B,3.0,datasize,16,0.25,0.549134
Llama-Centaur,3B,3.0,datasize,16,0.5,0.533345
Llama-Centaur,3B,3.0,rank_sweep,4,1.0,0.535406
Llama-Centaur,3B,3.0,rank_sweep,8,1.0,0.528911
Llama-Centaur,3B,3.0,rank_sweep,32,1.0,0.517303
Llama-Centaur,3B,3.0,rank_sweep,64,1.0,0.511789
Llama-Centaur,8B,8.0,baseline,16,1.0,0.512847
Llama-Centaur,8B,8.0,datasize,16,0.0625,0.566180
Llama-Centaur,8B,8.0,datasize,16,0.125,0.542665
Llama-Centaur,8B,8.0,datasize,16,0.25,0.530411
Llama-Centaur,8B,8.0,datasize,16,0.5,0.521838
Llama-Centaur,8B,8.0,rank_sweep,4,1.0,0.520955
Llama-Centaur,8B,8.0,rank_sweep,8,1.0,0.516861
Llama-Centaur,8B,8.0,rank_sweep,32,1.0,0.508175
Llama-Centaur,8B,8.0,rank_sweep,64,1.0,0.505038
Qwentaur,0.6B,0.6,baseline,16,1.0,0.527863
Qwentaur,0.6B,0.6,datasize,16,0.0625,0.612256
Qwentaur,0.6B,0.6,datasize,16,0.125,0.584245
Qwentaur,0.6B,0.6,datasize,16,0.25,0.558599
Qwentaur,0.6B,0.6,datasize,16,0.5,0.542855
Qwentaur,0.6B,0.6,rank_sweep,4,1.0,0.546230
Qwentaur,0.6B,0.6,rank_sweep,8,1.0,0.536487
Qwentaur,0.6B,0.6,rank_sweep,32,1.0,0.520222
Qwentaur,0.6B,0.6,rank_sweep,64,1.0,0.513163
Qwentaur,1.7B,1.7,baseline,16,1.0,0.523761
Qwentaur,1.7B,1.7,rank_sweep,8,1.0,0.528305
Qwentaur,4B,4.0,datasize,16,0.5,0.525180
Qwentaur,4B,4.0,datasize,16,0.125,0.549489
Qwentaur,4B,4.0,datasize,16,0.25,0.534365
Qwentaur,4B,4.0,baseline,16,1.0,0.516179
Qwentaur,4B,4.0,datasize,16,0.0625,0.567010
Qwentaur,4B,4.0,rank_sweep,64,1.0,0.505637
Qwentaur,4B,4.0,rank_sweep,4,1.0,0.525598
