size,axis,rank,fraction,mean_nll
0.6B,baseline,16,1.0,0.6926195652173914
0.6B,datasize,16,0.0625,0.8521254361903234
0.6B,datasize,16,0.125,0.8144377738708104
0.6B,datasize,16,0.25,0.7799982720728661
0.6B,datasize,16,0.5,0.7380800391191097
0.6B,rank_sweep,4,1.0,0.7554368370696782
0.6B,rank_sweep,8,1.0,0.7179803550079273
0.6B,rank_sweep,32,1.0,0.6735450119243602
0.6B,rank_sweep,64,1.0,0.645839767538914
1.7B,baseline,16,1.0,0.6780804347826087
1.7B,rank_sweep,8,1.0,0.6909102786733495
14B,baseline,16,1.0,0.6410130434782609
14B,datasize,16,0.0625,0.7579018193016805
14B,datasize,16,0.125,0.730730483325359
14B,datasize,16,0.25,0.6973212080524915
14B,datasize,16,0.5,0.6574339199241679
14B,rank_sweep,4,1.0,0.6598479934105537
14B,rank_sweep,64,1.0,0.6186617183668955
4B,baseline,16,1.0,0.6605326086956521
4B,datasize,16,0.0625,0.7851591756676182
4B,datasize,16,0.125,0.7589307306982885
4B,datasize,16,0.25,0.7277493477628488
4B,datasize,16,0.5,0.6804600185798494
4B,rank_sweep,4,1.0,0.6782315418253664
4B,rank_sweep,8,1.0,0.6676207247301136
4B,rank_sweep,32,1.0,0.6476406251899394
4B,rank_sweep,64,1.0,0.6283015671552161
8B,baseline,16,1.0,0.6570826086956523
8B,datasize,16,0.0625,0.772979453798262
8B,datasize,16,0.125,0.7472344828252655
8B,datasize,16,0.25,0.7169959152871224
8B,datasize,16,0.5,0.6714275933972322
8B,rank_sweep,4,1.0,0.6690603064701502
8B,rank_sweep,8,1.0,0.6624481807101524
8B,rank_sweep,32,1.0,0.6489498534655784
8B,rank_sweep,64,1.0,0.6304770331300421
