size,axis,rank,fraction,mean_nll
0.6B,baseline,16,1.0,0.5278631578947369
0.6B,datasize,16,0.0625,0.6122564565111565
0.6B,datasize,16,0.125,0.5842445018045653
0.6B,datasize,16,0.25,0.5585985270752548
0.6B,datasize,16,0.5,0.5428548982474815
0.6B,rank_sweep,4,1.0,0.5462295962544502
0.6B,rank_sweep,8,1.0,0.5364865174220349
0.6B,rank_sweep,32,1.0,0.5202221125337139
0.6B,rank_sweep,64,1.0,0.5131625848636974
1.7B,baseline,16,1.0,0.5237605263157895
1.7B,rank_sweep,8,1.0,0.5283047092877831
14B,baseline,16,1.0,0.508828947368421
14B,datasize,16,0.0625,0.5539370898259222
14B,datasize,16,0.125,0.5378716293142995
14B,datasize,16,0.25,0.5248598845826468
14B,datasize,16,0.5,0.5163931838674695
14B,rank_sweep,4,1.0,0.5162525034139482
14B,rank_sweep,64,1.0,0.501506726186012
4B,baseline,16,1.0,0.5161789473684211
4B,datasize,16,0.0625,0.5670095272592
4B,datasize,16,0.125,0.5494889063369268
4B,datasize,16,0.25,0.534364691782493
4B,datasize,16,0.5,0.5251802146585282
4B,rank_sweep,4,1.0,0.5255984820190095
4B,rank_sweep,8,1.0,0.5199968194723337
4B,rank_sweep,32,1.0,0.5107301694221956
4B,rank_sweep,64,1.0,0.5056365596202866
8B,baseline,16,1.0,0.5126605263157895
8B,datasize,16,0.0625,0.5615754346424517
8B,datasize,16,0.125,0.5449918646033773
8B,datasize,16,0.25,0.5299465134377993
8B,datasize,16,0.5,0.5214060918879113
8B,rank_sweep,4,1.0,0.5207217534568228
8B,rank_sweep,8,1.0,0.5167593008094818
8B,rank_sweep,32,1.0,0.5094488794162843
8B,rank_sweep,64,1.0,0.5038980678452486
