size,axis,rank,fraction,mean_nll
0.1B,baseline,16,1.0,0.8919864759645071
0.1B,datasize,16,0.0625,1.0838625695728494
0.1B,datasize,16,0.125,1.048484094203045
0.1B,datasize,16,0.25,1.0071835095839798
0.1B,datasize,16,0.5,0.9596188616010097
0.1B,rank_sweep,4,1.0,0.9892343757623483
0.1B,rank_sweep,8,1.0,0.9417466434033881
0.1B,rank_sweep,32,1.0,0.8417421609037379
0.1B,rank_sweep,64,1.0,0.7720541728798233
0.4B,baseline,16,1.0,0.8177535612441084
0.4B,datasize,16,0.0625,1.0174954541979115
0.4B,datasize,16,0.125,0.9814787410166742
0.4B,datasize,16,0.25,0.9323209137440679
0.4B,datasize,16,0.5,0.8757380465274606
0.4B,rank_sweep,4,1.0,0.9004948302494797
0.4B,rank_sweep,8,1.0,0.8561265504875969
0.4B,rank_sweep,32,1.0,0.7588680556718432
0.4B,rank_sweep,64,1.0,0.7340511253992388
1.7B,baseline,16,1.0,0.731266486699536
1.7B,datasize,16,0.0625,0.9504027946943255
1.7B,datasize,16,0.125,0.902784574022719
1.7B,datasize,16,0.25,0.8507060214457021
1.7B,datasize,16,0.5,0.8049884139915736
1.7B,rank_sweep,4,1.0,0.8289059268762408
1.7B,rank_sweep,8,1.0,0.7814403509998912
1.7B,rank_sweep,32,1.0,0.7134936018212655
1.7B,rank_sweep,64,1.0,0.7007896533857053
3B,baseline,16,1.0,0.6588822376764888
3B,datasize,16,0.0625,0.8142249925079775
3B,datasize,16,0.125,0.7786148061119171
3B,datasize,16,0.25,0.7478872926352303
3B,datasize,16,0.5,0.6964420846874735
3B,rank_sweep,4,1.0,0.697482715450188
3B,rank_sweep,8,1.0,0.6858030941752393
3B,rank_sweep,32,1.0,0.646684279816327
3B,rank_sweep,64,1.0,0.6394046908351257
