size,axis,rank,fraction,mean_nll
0.1B,baseline,16,1.0,0.6350852395538057
0.1B,datasize,16,0.0625,0.7885030671574274
0.1B,datasize,16,0.125,0.7588582016392856
0.1B,datasize,16,0.25,0.7302788565483704
0.1B,datasize,16,0.5,0.6914159126386757
0.1B,rank_sweep,4,1.0,0.7142022199573388
0.1B,rank_sweep,8,1.0,0.6749139291174575
0.1B,rank_sweep,32,1.0,0.6065380436657027
0.1B,rank_sweep,64,1.0,0.587433971451901
0.4B,baseline,16,1.0,0.590996640388958
0.4B,datasize,16,0.0625,0.7407662376736928
0.4B,datasize,16,0.125,0.7129857799292566
0.4B,datasize,16,0.25,0.6740047463543689
0.4B,datasize,16,0.5,0.6273259823830909
0.4B,rank_sweep,4,1.0,0.6457147035207048
0.4B,rank_sweep,8,1.0,0.6109881358708279
0.4B,rank_sweep,32,1.0,0.5753003266819225
0.4B,rank_sweep,64,1.0,0.5625593265859176
1.7B,baseline,16,1.0,0.5607315482744812
1.7B,datasize,16,0.0625,0.690042349516022
1.7B,datasize,16,0.125,0.65253355125529
1.7B,datasize,16,0.25,0.6118669000386848
1.7B,datasize,16,0.5,0.5856519513311612
1.7B,rank_sweep,4,1.0,0.5960092479125658
1.7B,rank_sweep,8,1.0,0.5731326290693496
1.7B,rank_sweep,32,1.0,0.5501955723614772
1.7B,rank_sweep,64,1.0,0.5420268261601259
3B,baseline,16,1.0,0.5185716109812778
3B,datasize,16,0.0625,0.5825226437223855
3B,datasize,16,0.125,0.5557745797306876
3B,datasize,16,0.25,0.5407066298174821
3B,datasize,16,0.5,0.5291883305019981
3B,rank_sweep,4,1.0,0.5294003409778126
3B,rank_sweep,8,1.0,0.5231680480309909
3B,rank_sweep,32,1.0,0.5137257877149272
3B,rank_sweep,64,1.0,0.5095760756757954
