Experiment,Task Name,Task Type,Qwen3-0.6B (base-bf16),Qwen3-0.6B (base-4bit),Qwentaur-0.6B (bf16),Qwentaur-0.6B (4bit),Llama-3.2-1B (base-bf16),Llama-3.2-1B (base-4bit),Centaur-1B (bf16),Centaur-1B (4bit),Qwen3-1.7B (base-bf16),Qwen3-1.7B (base-4bit),Qwentaur-1.7B (bf16),Qwentaur-1.7B (4bit),Llama-3.2-3B (base-bf16),Llama-3.2-3B (base-4bit),Centaur-3B (bf16),Centaur-3B (4bit),Qwen3-4B (base-bf16),Qwen3-4B (base-4bit),Qwentaur-4B (bf16),Qwentaur-4B (4bit),Qwen3-8B (base-bf16),Qwen3-8B (base-4bit),Qwentaur-8B (bf16),Qwentaur-8B (4bit),Llama-3.1-8B (base-bf16),Llama-3.1-8B (base-4bit),Centaur-8B (bf16),Centaur-8B (4bit),Qwen3-14B (base-bf16),Qwen3-14B (base-4bit),Qwentaur-14B (bf16),Qwentaur-14B (4bit),Llama-70B (4bit-reported),Centaur-70B (4bit-reproduced),Centaur-70B (4bit-reported),Cognitive model (reported)
frey2017risk,Balloon analog risk task,Decision-making,0.0915,0.0955,0.0675,0.0708,0.0950,0.0985,0.0690,0.0729,0.0877,0.0898,0.0691,0.0718,0.0826,0.0839,0.0664,0.0677,0.0815,0.0822,0.0654,0.0669,0.0831,0.0875,0.0649,0.06802785396575928,0.0820,0.0826,0.0646,0.0657,0.0812,0.0841,0.0647,0.0670,0.0753,0.0665,0.0593,0.0922
plonsky2018when,CPC18,Decision-making,0.4083,0.4218,0.3489,0.3600,0.4255,0.4362,0.3554,0.3641,0.4006,0.4185,0.3447,0.3586,0.4139,0.4236,0.3467,0.3524,0.3996,0.3985,0.3378,0.3443,0.3953,0.3885,0.3374,0.3501071035861969,0.3892,0.3890,0.3355,0.3412,0.4030,0.4135,0.3324,0.3442,0.4118,0.3527,0.3390,0.6607
frey2017cct,Columbia card task,Decision-making,0.2739,0.2925,0.2044,0.2131,0.3005,0.3083,0.2063,0.2127,0.2636,0.2694,0.2037,0.2149,0.2728,0.2752,0.2045,0.2090,0.2574,0.2608,0.2020,0.2066,0.2524,0.2625,0.2020,0.2128417193889618,0.2507,0.2572,0.2010,0.2034,0.2504,0.2516,0.2016,0.2113,0.2261,0.2088,0.1867,0.2629
wulff2018description,Decisions from description,Decision-making,1.0829,1.3077,0.6157,0.6359,1.5468,1.3422,0.6225,0.6567,1.0465,1.1740,0.6331,0.6405,1.2037,1.2481,0.6283,0.6347,1.0122,1.0332,0.6201,0.6344,0.9909,0.9893,0.6142,0.6321883797645569,0.9598,0.9547,0.5999,0.6139,1.0098,1.0108,0.6000,0.6322,0.7569,0.5898,0.5336,0.6120
garcia2023experiential,Experiential-symbolic task,Decision-making,0.7618,0.8623,0.4784,0.4989,0.7835,0.8614,0.4732,0.4875,0.6794,0.6992,0.4738,0.4850,0.6913,0.7032,0.4700,0.4781,0.6674,0.6707,0.4630,0.4728,0.6403,0.6549,0.4640,0.4784272313117981,0.6447,0.6690,0.4596,0.4637,0.5697,0.5851,0.4593,0.4710,0.6983,0.4580,0.4536,
flesch2018comparing,Gardening task,Decision-making,0.5225,0.5431,0.3889,0.4085,0.8054,0.7980,0.3972,0.4216,0.5174,0.5114,0.3850,0.4001,0.6409,0.6568,0.3892,0.3966,0.4882,0.5085,0.3806,0.3874,0.4651,0.4899,0.3792,0.3929792642593384,0.4831,0.5135,0.3775,0.3831,0.4451,0.4400,0.3784,0.3873,0.5040,0.4949,0.3783,0.9105
enkavi2019gonogo,Go/no-go,Decision-making,0.0050,0.0046,0.0000,0.0000,0.0103,0.0093,0.0000,0.0001,0.0055,0.0061,0.0000,0.0001,0.0070,0.0065,0.0000,0.0000,0.0035,0.0030,0.0000,0.0000,0.0065,0.0069,0.0000,1.0901221685344353e-05,0.0034,0.0033,0.0000,0.0000,0.0044,0.0199,0.0000,0.0000,0.0062,0.0000,0.0000,0.0757
ruggeri2022globalizability,Intertemporal choice,Decision-making,0.7725,0.9417,0.4394,0.4743,0.8497,0.8295,0.4408,0.4647,0.7971,0.7922,0.4394,0.4653,0.7520,0.7481,0.4387,0.4508,0.7130,0.7818,0.4387,0.4509,0.6901,0.7448,0.4393,0.45779091119766235,0.7581,0.7586,0.4391,0.4425,0.7038,0.7250,0.4390,0.4528,0.7336,0.4382,0.4340,0.6591
hilbig2014generalized,Multi-attribute decision-making,Decision-making,0.4929,0.5200,0.0882,0.1211,0.6291,0.7091,0.0771,0.1100,0.3388,0.2922,0.0822,0.1017,0.4538,0.4385,0.0787,0.0841,0.2007,0.2071,0.0942,0.1032,0.1858,0.2069,0.0845,0.09015250205993652,0.2331,0.2537,0.0812,0.0873,0.1859,0.1965,0.0773,0.0849,0.1502,0.0645,0.0619,0.1922
krueger2022identifying,Risky choice,Decision-making,0.9164,0.9909,0.4769,0.5218,0.9906,1.0398,0.4916,0.5285,0.8296,0.8783,0.4663,0.5050,0.8523,0.8800,0.4558,0.4736,0.7946,0.8387,0.4396,0.4542,0.7369,0.7717,0.4347,0.4495484530925751,0.7595,0.7809,0.4298,0.4416,0.6747,0.6893,0.4240,0.4408,0.6475,0.4336,0.4281,
