task,loss
badham2017deficits,0.5706798434257507
bahrami2020four,0.7442203164100647
enkavi2019adaptivenback,0.4308342933654785
enkavi2019digitspan,0.6111066341400146
enkavi2019gonogo,2.4386128643527627e-05
enkavi2019recentprobes,0.2719305753707886
feng2021dynamics,0.2746037244796753
flesch2018comparing,0.4035904109477997
frey2017cct,0.2082948237657547
frey2017risk,0.07056581974029541
gershman2018deconstructing,0.30393728613853455
gershman2020reward,0.5677987933158875
hebart2023things,0.8408735394477844
hilbig2014generalized,0.09244220703840256
kool2016when,0.5256209969520569
kool2017cost,0.5586052536964417
lefebvre2017behavioural,0.512850284576416
levering2020revisiting,0.5249837636947632
ludwig2023human,0.5487232804298401
peterson2021using,0.4444712698459625
plonsky2018when,0.35997048020362854
ruggeri2022globalizability,0.44182610511779785
sadeghiyeh2020temporal,0.5963135361671448
schulz2020finding,0.6776137948036194
somerville2017charting,0.35346007347106934
speekenbrink2008learning,0.5697686076164246
steingroever2015data,0.9456396698951721
tomov2020discovery,1.2181507349014282
tomov2021multitask,0.6022527813911438
waltz2020differential,0.16292697191238403
wilson2014humans,0.4785021245479584
wu2023chunking,0.17462173104286194
wulff2018description,0.6296066045761108
wulff2018sampling,0.5040913820266724
xiong2023neural,0.33173874020576477
zorowitz2023data,0.5288428664207458
collsiöö2023MCPL,1.1931501626968384
cox2017information,1.261378288269043
garcia2023experiential,0.47856104373931885
jansen2021dunningkruger,1.4938879013061523
krueger2022identifying,0.5141000747680664
kumar2023disentangling,1.1858872175216675
popov2023intent,1.3938432931900024
wise2019acomputational,5.0972371101379395
wu2018generalisation,2.245480537414551
zhu2020bayesian,2.6017866134643555
