task,loss
badham2017deficits,0.6219388246536255
bahrami2020four,0.8289971351623535
enkavi2019adaptivenback,0.4947777986526489
enkavi2019digitspan,0.708567202091217
enkavi2019gonogo,0.00031815984402783215
enkavi2019recentprobes,0.33193981647491455
feng2021dynamics,0.4047318398952484
flesch2018comparing,0.5676143169403076
frey2017cct,0.2416403442621231
frey2017risk,0.07542123645544052
gershman2018deconstructing,0.372390478849411
gershman2020reward,0.7433483600616455
hebart2023things,1.0817490816116333
hilbig2014generalized,0.31252729892730713
kool2016when,0.5928647518157959
kool2017cost,0.601512610912323
lefebvre2017behavioural,0.5386481285095215
levering2020revisiting,0.5567686557769775
ludwig2023human,0.62626713514328
peterson2021using,0.4875865876674652
plonsky2018when,0.4235017001628876
ruggeri2022globalizability,0.46779611706733704
sadeghiyeh2020temporal,0.6183690428733826
schulz2020finding,0.7721666693687439
somerville2017charting,0.4767865836620331
speekenbrink2008learning,0.5839414596557617
steingroever2015data,1.0062412023544312
tomov2020discovery,1.4279170036315918
tomov2021multitask,0.6833929419517517
waltz2020differential,0.25675684213638306
wilson2014humans,0.5415903925895691
wu2023chunking,0.16702015697956085
wulff2018description,0.6826090812683105
wulff2018sampling,0.5412857532501221
xiong2023neural,0.4049052894115448
zorowitz2023data,0.6023880243301392
collsiöö2023MCPL,1.5912705659866333
cox2017information,1.6885707378387451
garcia2023experiential,0.46798548102378845
jansen2021dunningkruger,1.6254979372024536
krueger2022identifying,0.7226044535636902
kumar2023disentangling,2.6928622722625732
popov2023intent,1.8767378330230713
wise2019acomputational,5.347959995269775
wu2018generalisation,2.4981095790863037
zhu2020bayesian,2.6735010147094727
