task,loss
badham2017deficits,12.655431747436523
bahrami2020four,13.907153129577637
enkavi2019adaptivenback,14.41742992401123
enkavi2019digitspan,4.650313854217529
enkavi2019gonogo,12.554152488708496
enkavi2019recentprobes,14.162137985229492
feng2021dynamics,15.099150657653809
flesch2018comparing,16.262802124023438
frey2017cct,14.071788787841797
frey2017risk,13.523179054260254
gershman2018deconstructing,13.98804759979248
gershman2020reward,16.162233352661133
hebart2023things,14.308855056762695
hilbig2014generalized,13.863037109375
kool2016when,14.634089469909668
kool2017cost,14.061509132385254
lefebvre2017behavioural,15.917224884033203
levering2020revisiting,13.526697158813477
ludwig2023human,13.750593185424805
peterson2021using,13.43874740600586
plonsky2018when,14.336634635925293
ruggeri2022globalizability,13.822440147399902
sadeghiyeh2020temporal,14.939000129699707
schulz2020finding,2.115309238433838
somerville2017charting,15.184402465820312
speekenbrink2008learning,17.012447357177734
steingroever2015data,13.228507995605469
tomov2020discovery,18.20571517944336
tomov2021multitask,14.703933715820312
waltz2020differential,15.41666030883789
wilson2014humans,15.385310173034668
wu2023chunking,14.433694839477539
wulff2018description,13.58542537689209
wulff2018sampling,13.738563537597656
xiong2023neural,14.75609302520752
zorowitz2023data,13.180852890014648
collsiöö2023MCPL,18.064882278442383
cox2017information,24.312612533569336
garcia2023experiential,12.945649147033691
jansen2021dunningkruger,12.883499145507812
krueger2022identifying,16.09579086303711
kumar2023disentangling,65.75251770019531
popov2023intent,17.120758056640625
wise2019acomputational,18.41692543029785
wu2018generalisation,5.427271366119385
zhu2020bayesian,3.4004898071289062
